id,client_id,service_id,reg_label,assigned_to,assigned_to_name,active,frequency,processor,due_month,expected_annual,filing_state,return_type,detail,notes
1208ff68-9327-4e77-af7b-b3b54ee6611a,9e3be72b-9415-4787-bcf5-19b5c5bc42c8,8356fec1-1b5b-45df-ab57-276899df5e6e,,60e3c2e6-a2e5-4340-8d2c-b58ce02ab04d,Sam,true,monthly,,,,,,,
768c6f3e-7346-45b7-a303-bc1d592f8781,03c463e4-c6c0-4aa3-84a9-2372196a0e54,aaacc3a2-e67a-4acc-a6f0-6d62260466df,,35bf7883-f6ba-440d-9d6a-245cd0c9113a,Tushar,true,yearly,,,,,,,tax return
d4cec1b2-2697-46ed-bb19-f469622232f8,d70ef273-81a8-4738-af87-93c3c0d98622,aaacc3a2-e67a-4acc-a6f0-6d62260466df,,35bf7883-f6ba-440d-9d6a-245cd0c9113a,Tushar,true,yearly,,,,,,,tax return
5b00477a-4c51-4201-b9c7-41dd60959f27,9b7c0bbc-e706-410b-ab6e-b222de3fdef6,aaacc3a2-e67a-4acc-a6f0-6d62260466df,,60e3c2e6-a2e5-4340-8d2c-b58ce02ab04d,Sam,true,yearly,,,,,,,tax return
074f9a36-bd34-4715-bfea-5fece3b646c3,9b7c0bbc-e706-410b-ab6e-b222de3fdef6,8356fec1-1b5b-45df-ab57-276899df5e6e,,60e3c2e6-a2e5-4340-8d2c-b58ce02ab04d,Sam,true,monthly,,,,,,,
0b74be10-b5ad-4154-96a0-2012b82c7d8f,e54d19e4-3cfc-4088-9e9a-799d3d9c1e7c,aaacc3a2-e67a-4acc-a6f0-6d62260466df,,35bf7883-f6ba-440d-9d6a-245cd0c9113a,Tushar,true,yearly,,,,,,,tax return
87abf543-49fa-4bb3-bbd7-3af847800bdd,7f3f9e81-91b1-4472-b0c8-3fd2099a7f73,aaacc3a2-e67a-4acc-a6f0-6d62260466df,,60e3c2e6-a2e5-4340-8d2c-b58ce02ab04d,Sam,true,yearly,,,,,,,tax return
5acca29e-975e-4636-8639-b7be4f6ee039,7f3f9e81-91b1-4472-b0c8-3fd2099a7f73,8356fec1-1b5b-45df-ab57-276899df5e6e,,60e3c2e6-a2e5-4340-8d2c-b58ce02ab04d,Sam,true,monthly,,,,,,,
a9128fdc-b377-4e07-9e1c-6294b65c9142,a19fface-0ef6-4db2-a04a-535b118c4fac,aaacc3a2-e67a-4acc-a6f0-6d62260466df,,35bf7883-f6ba-440d-9d6a-245cd0c9113a,Tushar,true,yearly,,,,,,,tax return
54833c50-65a3-4961-981a-8b5d4c78b5d1,8a723a95-488e-499e-a52e-e91c47f045fa,aaacc3a2-e67a-4acc-a6f0-6d62260466df,,35bf7883-f6ba-440d-9d6a-245cd0c9113a,Tushar,true,yearly,,,,,,,tax return
